"X1","X2","X3","X4","X5"
"#","Episode","UserRating","UserVotes",""
"1.1","George Carlin/Billy Preston/Janis Ian","7.6","266","1
2
3
4
5
6
7
8
9
10

7.6/10
X"
"1.2","Paul Simon/Randy Newman/Phoebe Snow","6.5","158","1
2
3
4
5
6
7
8
9
10

6.5/10
X"
"1.3","Rob Reiner","7.0","129","1
2
3
4
5
6
7
8
9
10

7.0/10
X"
"1.4","Candice Bergen/Esther Phillips","7.2","126","1
2
3
4
5
6
7
8
9
10

7.2/10
X"
"1.5","Robert Klein/ABBA, Loudon Wainwright III","6.8","109","1
2
3
4
5
6
7
8
9
10

6.8/10
X"
"1.6","Lily Tomlin","7.2","108","1
2
3
4
5
6
7
8
9
10

7.2/10
X"
"1.7","Richard Pryor/Gil Scott-Heron","8.6","170","1
2
3
4
5
6
7
8
9
10

8.6/10
X"
"1.8","Candice Bergen/Martha Reeves/The Stylistics","7.1","97","1
2
3
4
5
6
7
8
9
10

7.1/10
X"
"1.9","Elliott Gould/Anne Murray","7.0","84","1
2
3
4
5
6
7
8
9
10

7.0/10
X"
"1.10","Buck Henry/Bill Withers, Toni Basil","7.8","82","1
2
3
4
5
6
7
8
9
10

7.8/10
X"
"1.11","Peter Cook & Dudley Moore/Neil Sedaka","7.5","80","1
2
3
4
5
6
7
8
9
10

7.5/10
X"
"1.12","Dick Cavett/Jimmy Cliff","6.3","74","1
2
3
4
5
6
7
8
9
10

6.3/10
X"
"1.13","Peter Boyle/Al Jarreau","7.0","73","1
2
3
4
5
6
7
8
9
10

7.0/10
X"
"1.14","Desi Arnaz/Desi Arnaz, Jr.","7.7","84","1
2
3
4
5
6
7
8
9
10

7.7/10
X"
"1.15","Jill Clayburgh/Leon Redbone/The Singing Idlers","7.4","69","1
2
3
4
5
6
7
8
9
10

7.4/10
X"
"1.16","Anthony Perkins/Betty Carter","7.3","74","1
2
3
4
5
6
7
8
9
10

7.3/10
X"
"1.17","Ron Nessen/Patti Smith Group","7.0","70","1
2
3
4
5
6
7
8
9
10

7.0/10
X"
"1.18","Raquel Welch/Phoebe Snow, John Sebastian","6.8","72","1
2
3
4
5
6
7
8
9
10

6.8/10
X"
"1.19","Madeline Kahn/Carly Simon","8.1","74","1
2
3
4
5
6
7
8
9
10

8.1/10
X"
"1.20","Dyan Cannon/Leon & Mary Russell","6.7","66","1
2
3
4
5
6
7
8
9
10

6.7/10
X"
"1.21","Buck Henry/Gordon Lightfoot","7.4","64","1
2
3
4
5
6
7
8
9
10

7.4/10
X"
"1.22","Elliott Gould/Leon Redbone, Harlan Collins & Joyce Everson","8.0","61","1
2
3
4
5
6
7
8
9
10

8.0/10
X"
"1.23","Louise Lasser/Preservation Hall Jazz Band","5.5","64","1
2
3
4
5
6
7
8
9
10

5.5/10
X"
"1.24","Kris Kristofferson/Rita Coolidge","6.9","61","1
2
3
4
5
6
7
8
9
10

6.9/10
X"
"2.1","Lily Tomlin/James Taylor","7.4","61","1
2
3
4
5
6
7
8
9
10

7.4/10
X"
"2.2","Norman Lear/Boz Scaggs","7.6","55","1
2
3
4
5
6
7
8
9
10

7.6/10
X"
"2.3","Eric Idle/Joe Cocker/Stuff","7.7","65","1
2
3
4
5
6
7
8
9
10

7.7/10
X"
"2.4","Karen Black/John Prine","6.8","55","1
2
3
4
5
6
7
8
9
10

6.8/10
X"
"2.5","Steve Martin/Kinky Friedman","7.7","61","1
2
3
4
5
6
7
8
9
10

7.7/10
X"
"2.6","Buck Henry/The Band","7.6","62","1
2
3
4
5
6
7
8
9
10

7.6/10
X"
"2.7","Dick Cavett/Ry Cooder","7.0","46","1
2
3
4
5
6
7
8
9
10

7.0/10
X"
"2.8","Paul Simon/George Harrison","7.7","75","1
2
3
4
5
6
7
8
9
10

7.7/10
X"
"2.9","Jodie Foster/Brian Wilson","6.9","56","1
2
3
4
5
6
7
8
9
10

6.9/10
X"
"2.10","Candice Bergen/Frank Zappa","7.9","59","1
2
3
4
5
6
7
8
9
10

7.9/10
X"
"2.11","Ralph Nader/George Benson","7.3","49","1
2
3
4
5
6
7
8
9
10

7.3/10
X"
"2.12","Ruth Gordon/Chuck Berry","7.3","49","1
2
3
4
5
6
7
8
9
10

7.3/10
X"
"2.13","Fran Tarkenton/Leo Sayer, Donnie Harper and the Voices of Tomorrow","6.7","46","1
2
3
4
5
6
7
8
9
10

6.7/10
X"
"2.14","Live from Mardi Gras","6.5","41","1
2
3
4
5
6
7
8
9
10

6.5/10
X"
"2.15","Steve Martin/The Kinks","8.0","63","1
2
3
4
5
6
7
8
9
10

8.0/10
X"
"2.16","Sissy Spacek/Richard Baskin","7.2","53","1
2
3
4
5
6
7
8
9
10

7.2/10
X"
"2.17","Broderick Crawford/Levon Helm/Dr. John/The Meters","7.3","51","1
2
3
4
5
6
7
8
9
10

7.3/10
X"
"2.18","Jack Burns/Santana","7.2","49","1
2
3
4
5
6
7
8
9
10

7.2/10
X"
"2.19","Julian Bond/Tom Waits, Brick","6.7","49","1
2
3
4
5
6
7
8
9
10

6.7/10
X"
"2.20","Elliott Gould/Kate & Anna McGarrigle/Roslyn Kind","7.0","43","1
2
3
4
5
6
7
8
9
10

7.0/10
X"
"2.21","Eric Idle/Neil Innes","7.8","48","1
2
3
4
5
6
7
8
9
10

7.8/10
X"
"2.22","Shelley Duvall/Joan Armatrading","7.3","45","1
2
3
4
5
6
7
8
9
10

7.3/10
X"
"2.23","Buck Henry/Jennifer Warnes/Kenny Vance","7.9","43","1
2
3
4
5
6
7
8
9
10

7.9/10
X"
"3.1","Steve Martin/Jackson Browne","7.4","58","1
2
3
4
5
6
7
8
9
10

7.4/10
X"
"3.2","Madeline Kahn/Taj Mahal","6.8","45","1
2
3
4
5
6
7
8
9
10

6.8/10
X"
"3.3","Hugh Hefner/Libby Titus","6.4","42","1
2
3
4
5
6
7
8
9
10

6.4/10
X"
"3.4","Charles Grodin/Paul Simon","7.0","46","1
2
3
4
5
6
7
8
9
10

7.0/10
X"
"3.5","Ray Charles","7.9","49","1
2
3
4
5
6
7
8
9
10

7.9/10
X"
"3.6","Buck Henry/Leon Redbone","6.8","41","1
2
3
4
5
6
7
8
9
10

6.8/10
X"
"3.7","Mary Kay Place/Willie Nelson","7.5","36","1
2
3
4
5
6
7
8
9
10

7.5/10
X"
"3.8","Miskel Spillman/Elvis Costello","7.5","41","1
2
3
4
5
6
7
8
9
10

7.5/10
X"
"3.9","Steve Martin/Randy Newman, Dirt Band","7.8","52","1
2
3
4
5
6
7
8
9
10

7.8/10
X"
"3.10","Robert Klein/Bonnie Raitt","7.7","53","1
2
3
4
5
6
7
8
9
10

7.7/10
X"
"3.11","Chevy Chase/Billy Joel","7.5","45","1
2
3
4
5
6
7
8
9
10

7.5/10
X"
"3.12","O.J. Simpson/Ashford & Simpson","7.0","46","1
2
3
4
5
6
7
8
9
10

7.0/10
X"
"3.13","Art Garfunkel/Stephen Bishop","6.4","44","1
2
3
4
5
6
7
8
9
10

6.4/10
X"
"3.14","Jill Clayburgh/Eddie Money","6.6","38","1
2
3
4
5
6
7
8
9
10

6.6/10
X"
"3.15","Christopher Lee/Meat Loaf","7.7","54","1
2
3
4
5
6
7
8
9
10

7.7/10
X"
"3.16","Michael Palin/Eugene Record","7.8","40","1
2
3
4
5
6
7
8
9
10

7.8/10
X"
"3.17","Michael Sarrazin/Keith Jarrett, Gravity","7.0","38","1
2
3
4
5
6
7
8
9
10

7.0/10
X"
"3.18","Steve Martin/The Blues Brothers","8.4","84","1
2
3
4
5
6
7
8
9
10

8.4/10
X"
"3.19","Richard Dreyfuss/Jimmy Buffett, Gary Tigerman","7.4","36","1
2
3
4
5
6
7
8
9
10

7.4/10
X"
"3.20","Buck Henry/Sun Ra","7.2","37","1
2
3
4
5
6
7
8
9
10

7.2/10
X"
"4.1","The Rolling Stones","7.4","52","1
2
3
4
5
6
7
8
9
10

7.4/10
X"
"4.2","Fred Willard/Devo","7.2","42","1
2
3
4
5
6
7
8
9
10

7.2/10
X"
"4.3","Frank Zappa","7.0","53","1
2
3
4
5
6
7
8
9
10

7.0/10
X"
"4.4","Steve Martin/Van Morrison","8.2","44","1
2
3
4
5
6
7
8
9
10

8.2/10
X"
"4.5","Buck Henry/The Grateful Dead","7.0","41","1
2
3
4
5
6
7
8
9
10

7.0/10
X"
"4.6","Carrie Fisher/The Blues Brothers","7.9","80","1
2
3
4
5
6
7
8
9
10

7.9/10
X"
"4.7","Walter Matthau","7.6","40","1
2
3
4
5
6
7
8
9
10

7.6/10
X"
"4.8","Eric Idle/Kate Bush","7.9","60","1
2
3
4
5
6
7
8
9
10

7.9/10
X"
"4.9","Elliott Gould/Peter Tosh","6.2","42","1
2
3
4
5
6
7
8
9
10

6.2/10
X"
"4.10","Michael Palin/The Doobie Brothers","7.1","38","1
2
3
4
5
6
7
8
9
10

7.1/10
X"
"4.11","Cicely Tyson/Talking Heads","7.4","40","1
2
3
4
5
6
7
8
9
10

7.4/10
X"
"4.12","Ricky Nelson/Judy Collins","7.3","53","1
2
3
4
5
6
7
8
9
10

7.3/10
X"
"4.13","Kate Jackson/Delbert McClinton","6.3","34","1
2
3
4
5
6
7
8
9
10

6.3/10
X"
"4.14","Gary Busey/Eubie Blake and Gregory Hines","7.5","37","1
2
3
4
5
6
7
8
9
10

7.5/10
X"
"4.15","Margot Kidder/The Chieftains","6.9","43","1
2
3
4
5
6
7
8
9
10

6.9/10
X"
"4.16","Richard Benjamin/Rickie Lee Jones","7.5","42","1
2
3
4
5
6
7
8
9
10

7.5/10
X"
"4.17","Milton Berle/Ornette Coleman","6.4","41","1
2
3
4
5
6
7
8
9
10

6.4/10
X"
"4.18","Michael Palin/James Taylor","7.6","40","1
2
3
4
5
6
7
8
9
10

7.6/10
X"
"4.19","Maureen Stapleton/Linda Ronstadt/Phoebe Snow","7.4","34","1
2
3
4
5
6
7
8
9
10

7.4/10
X"
"4.20","Buck Henry/Bette Midler","7.8","38","1
2
3
4
5
6
7
8
9
10

7.8/10
X"
"5.1","Steve Martin/Blondie","7.8","53","1
2
3
4
5
6
7
8
9
10

7.8/10
X"
"5.2","Eric Idle/Bob Dylan","7.9","39","1
2
3
4
5
6
7
8
9
10

7.9/10
X"
"5.3","Bill Russell/Chicago","6.4","34","1
2
3
4
5
6
7
8
9
10

6.4/10
X"
"5.4","Buck Henry/Tom Petty & The Heartbreakers","6.6","37","1
2
3
4
5
6
7
8
9
10

6.6/10
X"
"5.5","Bea Arthur/The Roches","6.3","30","1
2
3
4
5
6
7
8
9
10

6.3/10
X"
"5.6","Howard Hesseman/Randy Newman","6.3","33","1
2
3
4
5
6
7
8
9
10

6.3/10
X"
"5.7","Martin Sheen/David Bowie","6.9","44","1
2
3
4
5
6
7
8
9
10

6.9/10
X"
"5.8","Ted Knight/Desmond Child & Rouge","6.2","29","1
2
3
4
5
6
7
8
9
10

6.2/10
X"
"5.9","Teri Garr/The B-52's","6.4","30","1
2
3
4
5
6
7
8
9
10

6.4/10
X"
"5.10","Chevy Chase/Marianne Faithfull","6.6","36","1
2
3
4
5
6
7
8
9
10

6.6/10
X"
"5.11","Elliott Gould/Gary Numan","6.0","27","1
2
3
4
5
6
7
8
9
10

6.0/10
X"
"5.12","Kirk Douglas/Sam and Dave","6.8","28","1
2
3
4
5
6
7
8
9
10

6.8/10
X"
"5.13","Rodney Dangerfield/The J. Geils Band","6.9","36","1
2
3
4
5
6
7
8
9
10

6.9/10
X"
"5.14","Paul Simon, James Taylor & David Sanborn","6.4","31","1
2
3
4
5
6
7
8
9
10

6.4/10
X"
"5.15","Richard Benjamin, Paula Prentiss/The Grateful Dead","6.1","28","1
2
3
4
5
6
7
8
9
10

6.1/10
X"
"5.16","Burt Reynolds/Anne Murray","5.6","31","1
2
3
4
5
6
7
8
9
10

5.6/10
X"
"5.17","Strother Martin/The Specials","7.1","34","1
2
3
4
5
6
7
8
9
10

7.1/10
X"
"5.18","Bob Newhart/The Amazing Rhthym Aces/Bruce Cockburn","7.5","29","1
2
3
4
5
6
7
8
9
10

7.5/10
X"
"5.19","Steve Martin/Paul & Linda McCartney/3-D","8.1","34","1
2
3
4
5
6
7
8
9
10

8.1/10
X"
"5.20","Buck Henry/Andrew Gold/Andrae Crouch & Voices of Unity","8.1","31","1
2
3
4
5
6
7
8
9
10

8.1/10
X"
"6.1","Elliott Gould/Kid Creole & the Coconuts","6.8","41","1
2
3
4
5
6
7
8
9
10

6.8/10
X"
"6.2","Malcolm McDowell/Captain Beefheart & The Magic Band","5.9","42","1
2
3
4
5
6
7
8
9
10

5.9/10
X"
"6.3","Ellen Burstyn/Aretha Franklin/Keith Sykes","6.6","30","1
2
3
4
5
6
7
8
9
10

6.6/10
X"
"6.4","Jamie Lee Curtis/James Brown/Ellen Shipley","6.4","32","1
2
3
4
5
6
7
8
9
10

6.4/10
X"
"6.5","David Carradine/Linda Ronstadt/Cast of 'The Pirates of Penzance'","6.0","36","1
2
3
4
5
6
7
8
9
10

6.0/10
X"
"6.6","Ray Sharkey/Jack Bruce & Friends","5.7","32","1
2
3
4
5
6
7
8
9
10

5.7/10
X"
"6.7","Karen Black/Cheap Trick/Stanley Clarke Trio","6.3","30","1
2
3
4
5
6
7
8
9
10

6.3/10
X"
"6.8","Robert Hays/14 Karat Soul/Joe 'King' Carrasco & The Crowns","6.2","20","1
2
3
4
5
6
7
8
9
10

6.2/10
X"
"6.9","Sally Kellerman/Jimmy Cliff","6.3","24","1
2
3
4
5
6
7
8
9
10

6.3/10
X"
"6.10","Deborah Harry/Funky 4 + 1 More","6.6","30","1
2
3
4
5
6
7
8
9
10

6.6/10
X"
"6.11","Charlene Tilton/Todd Rundgren/Prince","5.7","32","1
2
3
4
5
6
7
8
9
10

5.7/10
X"
"6.12","Bill Murray/Delbert McClinton","7.9","34","1
2
3
4
5
6
7
8
9
10

7.9/10
X"
"6.13","Jr. Walker & the All-Stars","7.9","30","1
2
3
4
5
6
7
8
9
10

7.9/10
X"
"7.1","Rod Stewart","6.6","36","1
2
3
4
5
6
7
8
9
10

6.6/10
X"
"7.2","Susan Saint James/The Kinks","5.9","33","1
2
3
4
5
6
7
8
9
10

5.9/10
X"
"7.3","George Kennedy/Miles Davis","7.6","26","1
2
3
4
5
6
7
8
9
10

7.6/10
X"
"7.4","Donald Pleasance/Fear","7.0","30","1
2
3
4
5
6
7
8
9
10

7.0/10
X"
"7.5","Lauren Hutton/Rick James & The Stone City Band","6.3","35","1
2
3
4
5
6
7
8
9
10

6.3/10
X"
"7.6","Bernadette Peters/Billy Joel/The Go-Go's","6.8","28","1
2
3
4
5
6
7
8
9
10

6.8/10
X"
"7.7","Tim Curry/Meat Loaf/The Neverland Express","6.8","25","1
2
3
4
5
6
7
8
9
10

6.8/10
X"
"7.8","Bill Murray/The Spinners/Yale Whiffenpoofs","6.5","37","1
2
3
4
5
6
7
8
9
10

6.5/10
X"
"7.9","Robert Conrad/The Allman Brothers Band","6.6","29","1
2
3
4
5
6
7
8
9
10

6.6/10
X"
"7.10","John Madden/Jennifer Holliday","6.5","32","1
2
3
4
5
6
7
8
9
10

6.5/10
X"
"7.11","James Coburn/Lindsey Buckingham","6.3","26","1
2
3
4
5
6
7
8
9
10

6.3/10
X"
"7.12","Bruce Dern/Luther Vandross","5.5","25","1
2
3
4
5
6
7
8
9
10

5.5/10
X"
"7.13","Elizabeth Ashley/Hall & Oates","7.8","28","1
2
3
4
5
6
7
8
9
10

7.8/10
X"
"7.14","Robert Urich/Mink DeVille","6.5","22","1
2
3
4
5
6
7
8
9
10

6.5/10
X"
"7.15","Blythe Danner/Rickie Lee Jones","5.7","29","1
2
3
4
5
6
7
8
9
10

5.7/10
X"
"7.16","Daniel J. Travanti/John Cougar","6.4","27","1
2
3
4
5
6
7
8
9
10

6.4/10
X"
"7.17","Johnny Cash/Elton John","7.9","40","1
2
3
4
5
6
7
8
9
10

7.9/10
X"
"7.18","Robert Culp/The Charlie Daniels Band","6.4","23","1
2
3
4
5
6
7
8
9
10

6.4/10
X"
"7.19","Danny DeVito/Sparks","6.9","21","1
2
3
4
5
6
7
8
9
10

6.9/10
X"
"7.20","Olivia Newton-John","7.9","30","1
2
3
4
5
6
7
8
9
10

7.9/10
X"
"8.1","Chevy Chase/Queen","8.5","45","1
2
3
4
5
6
7
8
9
10

8.5/10
X"
"8.2","Louis Gossett Jr/George Thorogood & The Destroyers","7.3","26","1
2
3
4
5
6
7
8
9
10

7.3/10
X"
"8.3","Ron Howard/The Clash","8.2","41","1
2
3
4
5
6
7
8
9
10

8.2/10
X"
"8.4","Howard Hesseman/Men at Work","7.5","29","1
2
3
4
5
6
7
8
9
10

7.5/10
X"
"8.5","Michael Keaton/The New Joe Jackson Band","7.2","37","1
2
3
4
5
6
7
8
9
10

7.2/10
X"
"8.6","Robert Blake/Kenny Loggins","5.9","25","1
2
3
4
5
6
7
8
9
10

5.9/10
X"
"8.7","Drew Barrymore/Squeeze","7.9","44","1
2
3
4
5
6
7
8
9
10

7.9/10
X"
"8.8","Tom & Dick Smothers/Laura Branigan","7.5","30","1
2
3
4
5
6
7
8
9
10

7.5/10
X"
"8.9","Eddie Murphy/Lionel Richie","8.1","38","1
2
3
4
5
6
7
8
9
10

8.1/10
X"
"8.10","Lily Tomlin","7.0","28","1
2
3
4
5
6
7
8
9
10

7.0/10
X"
"8.11","Rick Moranis and Dave Thomas/The Bus Boys","7.8","31","1
2
3
4
5
6
7
8
9
10

7.8/10
X"
"8.12","Sid Caesar/Joe Cocker/Jennifer Warnes","6.5","26","1
2
3
4
5
6
7
8
9
10

6.5/10
X"
"8.13","Howard Hesseman/Tom Petty & The Heartbreakers","7.5","24","1
2
3
4
5
6
7
8
9
10

7.5/10
X"
"8.14","Beau and Jeff Bridges/Randy Newman","6.6","25","1
2
3
4
5
6
7
8
9
10

6.6/10
X"
"8.15","Bruce Dern/Leon Redbone","6.7","23","1
2
3
4
5
6
7
8
9
10

6.7/10
X"
"8.16","Robert Guilaume/Duran Duran","7.8","22","1
2
3
4
5
6
7
8
9
10

7.8/10
X"
"8.17","Joan Rivers/Musical Youth","8.0","27","1
2
3
4
5
6
7
8
9
10

8.0/10
X"
"8.18","Susan Saint James/Michael McDonald","7.6","26","1
2
3
4
5
6
7
8
9
10

7.6/10
X"
"8.19","Stevie Wonder","7.9","29","1
2
3
4
5
6
7
8
9
10

7.9/10
X"
"8.20","Ed Koch/Kevin Rowland & Dexy's Midnight Runners","8.0","23","1
2
3
4
5
6
7
8
9
10

8.0/10
X"
"9.1","Brandon Tartikoff/John Cougar Mellencamp","6.0","24","1
2
3
4
5
6
7
8
9
10

6.0/10
X"
"9.2","Danny DeVito & Rhea Pearlman/Eddy Grant","6.1","32","1
2
3
4
5
6
7
8
9
10

6.1/10
X"
"9.3","John Candy/Men at Work","6.4","27","1
2
3
4
5
6
7
8
9
10

6.4/10
X"
"9.4","Betty Thomas/Stray Cats","5.8","32","1
2
3
4
5
6
7
8
9
10

5.8/10
X"
"9.5","Teri Garr/Mick Fleetwood's Zoo","5.7","28","1
2
3
4
5
6
7
8
9
10

5.7/10
X"
"9.6","Jerry Lewis/Loverboy","5.7","31","1
2
3
4
5
6
7
8
9
10

5.7/10
X"
"9.7","The Smothers Brothers/Big Country","5.7","32","1
2
3
4
5
6
7
8
9
10

5.7/10
X"
"9.8","Flip Wilson/Stevie Nicks","6.2","28","1
2
3
4
5
6
7
8
9
10

6.2/10
X"
"9.9","Father Guido Sarducci/Huey Lewis & The News","6.3","30","1
2
3
4
5
6
7
8
9
10

6.3/10
X"
"9.10","Michael Palin/Mary Palin/The Motels","6.5","29","1
2
3
4
5
6
7
8
9
10

6.5/10
X"
"9.11","Don Rickles/Billy Idol","8.0","25","1
2
3
4
5
6
7
8
9
10

8.0/10
X"
"9.12","Robin Williams/Adam Ant","6.4","34","1
2
3
4
5
6
7
8
9
10

6.4/10
X"
"9.13","Jamie Lee Curtis/The Fixx","6.9","27","1
2
3
4
5
6
7
8
9
10

6.9/10
X"
"9.14","Edwin Newman/Kool & The Gang","6.3","22","1
2
3
4
5
6
7
8
9
10

6.3/10
X"
"9.15","Billy Crystal/Al Jarreau","5.8","29","1
2
3
4
5
6
7
8
9
10

5.8/10
X"
"9.16","Michael Douglas/Deniece Williams","6.5","34","1
2
3
4
5
6
7
8
9
10

6.5/10
X"
"9.17","George McGovern/Madness","5.8","32","1
2
3
4
5
6
7
8
9
10

5.8/10
X"
"9.18","Barry Bostwick/Spinal Tap","7.7","29","1
2
3
4
5
6
7
8
9
10

7.7/10
X"
"9.19","Billy Crystal/Ed Koch/Edwin Newman/Don Novello/Betty Thomas/The Cars","6.2","31","1
2
3
4
5
6
7
8
9
10

6.2/10
X"
"10.1","Thompson Twins","6.3","26","1
2
3
4
5
6
7
8
9
10

6.3/10
X"
"10.2","Bob Uecker/Peter Wolf","6.6","26","1
2
3
4
5
6
7
8
9
10

6.6/10
X"
"10.3","Jesse Jackson/Andrae Crouch, Wintley Phipps","6.2","32","1
2
3
4
5
6
7
8
9
10

6.2/10
X"
"10.4","Michael McKean/Chaka Khan/The Folksmen","7.0","27","1
2
3
4
5
6
7
8
9
10

7.0/10
X"
"10.5","George Carlin/Frankie Goes to Hollywood","8.0","33","1
2
3
4
5
6
7
8
9
10

8.0/10
X"
"10.6","Ed Asner/The Kinks","7.5","25","1
2
3
4
5
6
7
8
9
10

7.5/10
X"
"10.7","Ed Begley Jr/Billy Squier","5.4","28","1
2
3
4
5
6
7
8
9
10

5.4/10
X"
"10.8","Ringo Starr/Herbie Hancock","6.6","30","1
2
3
4
5
6
7
8
9
10

6.6/10
X"
"10.9","Eddie Murphy/Robert Plant & The Honeydrippers","7.4","48","1
2
3
4
5
6
7
8
9
10

7.4/10
X"
"10.10","Kathleen Turner/John Waite","5.9","27","1
2
3
4
5
6
7
8
9
10

5.9/10
X"
"10.11","Roy Scheider/Billy Ocean","7.6","27","1
2
3
4
5
6
7
8
9
10

7.6/10
X"
"10.12","Alex Karras/Tina Turner","6.4","25","1
2
3
4
5
6
7
8
9
10

6.4/10
X"
"10.13","Harry Anderson/Bryan Adams","5.8","33","1
2
3
4
5
6
7
8
9
10

5.8/10
X"
"10.14","Pamela Sue Martin/Power Station","5.4","30","1
2
3
4
5
6
7
8
9
10

5.4/10
X"
"10.15","SNL Film Festival","7.2","25","1
2
3
4
5
6
7
8
9
10

7.2/10
X"
"10.16","Mr. T and Hulk Hogan/The Commodores","6.1","34","1
2
3
4
5
6
7
8
9
10

6.1/10
X"
"10.17","Christopher Reeve/Santana","6.2","28","1
2
3
4
5
6
7
8
9
10

6.2/10
X"
"10.18","Howard Cosell/Greg Kihn","6.2","28","1
2
3
4
5
6
7
8
9
10

6.2/10
X"
"11.1","Madonna/Simple Minds","6.3","35","1
2
3
4
5
6
7
8
9
10

6.3/10
X"
"11.2","Chevy Chase/Sheila E.","6.5","32","1
2
3
4
5
6
7
8
9
10

6.5/10
X"
"11.3","Pee Wee Herman/Queen Ida & The Bon Temps Zydeco Band","6.3","27","1
2
3
4
5
6
7
8
9
10

6.3/10
X"
"11.4","John Lithgow/Mr. Mister","6.8","23","1
2
3
4
5
6
7
8
9
10

6.8/10
X"
"11.5","Tom Hanks/Sade","6.3","33","1
2
3
4
5
6
7
8
9
10

6.3/10
X"
